2023-03-09 11:53:37,900 [56] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:53:38,534 [56] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:53:39,083 [56] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:53:39,737 [56] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
2023-03-09 11:53:41,062 [56] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 2248- Jp id: 3, Current: 6736695.0000000, Payout: 6714549, pool rec: False
2023-03-09 11:53:41,884 [56] ERROR PortalJpUtils.GroupJackpotData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 2, Current: 897500.0000000, Payout: 695505, pool rec: False
2023-03-09 11:53:45,520 [76] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:53:46,134 [76] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:53:46,719 [76] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:53:47,429 [76] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
2023-03-09 11:53:48,567 [76] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 2248- Jp id: 3, Current: 6736695.0000000, Payout: 6714549, pool rec: False
2023-03-09 11:53:49,373 [76] ERROR PortalJpUtils.GroupJackpotData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 2, Current: 897500.0000000, Payout: 695505, pool rec: False
2023-03-09 11:53:53,010 [74] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:53:53,625 [74] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:53:54,155 [74] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:53:54,785 [74] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
2023-03-09 11:53:55,901 [74] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 2248- Jp id: 3, Current: 6736695.0000000, Payout: 6714549, pool rec: False
